"Name","Symbol","Circulating Supply","Dollar Volume"
"Mercury","MER","100000000.0","2761630.0"
"Eidoo","EDO","20986407.2613","2942270.0"
"MCAP","MCAP","38295641.0947","2034010.0"
"MobileGo","MGO","98028887.0","329536.0"
"Neblio","NEBL","12614752.7472","748141.0"
"Melon","MLN","599400.0","931964.0"
"Asch","XAS","90944360.0","509005.0"
"SONM","SNM","359600000.0","2441290.0"
"Wings","WINGS","89708333.0","1145890.0"
"ReddCoin","RDD","28683781717.3","2013420.0"
"Voxels","VOX","210000000.0","11978100.0"
"Kin","KIN","7.56097560976e+11","67541.9"
"Ink","INK","178250000.0","20263100.0"
"CloakCoin","CLOAK","5124093.55821","831424.0"
"Emercoin","EMC","41033135.5624","292820.0"
"KuCoin Shares","KCS","91043076.0001","942125.0"
"Enigma","ENG","74836171.09","5418970.0"
"Namecoin","NMC","14736400.0","988938.0"
"Bitcore","BTX","1808259.45863","2274940.0"
"bitqy","BQ","2713706360.81","15467.4"
"Russian Miner...","RMC","1507.0","77951.4"
"WeTrust","TRST","92147500.0","1621080.0"
"Rise","RISE","113139200.0","4107490.0"
"iExec RLC","RLC","79070793.2388","1014590.0"
"AirSwap","AST","150000000.0","4158980.0"
"WhiteCoin","XWC","248542523.193","1202570.0"
"Zeusshield","ZSC","1153170765.0","1512490.0"
"Agoras Tokens","AGRS","42000000.0","312393.0"
"Pillar","PLR","227384800.0","164369.0"
"Diamond","DMD","2547963.90398","252333.0"
"CoinDash","CDT","560650080.17","3482990.0"
"I/O Coin","IOC","16398347.9743","468024.0"
"TaaS","TAAS","8146000.7794","598187.0"
"Cofound.it","CFI","325000000.0","1275610.0"
"SIBCoin","SIB","15964146.4564","529719.0"
"ION","ION","18161277.9994","256384.0"
"Tierion","TNT","422513667.499","8042490.0"
"DECENT","DCT","51306089.0","1065920.0"
"Presearch","PRE","155000000.0","171191.0"
"Modum","MOD","18266200.0","1734870.0"
"Gulden","NLG","357609345.0","433403.0"
"OKCash","OK","73397857.5856","7206080.0"
"LBRY Credits","LBC","113195885.001","2286590.0"
"Time New Bank","TNB","1132673199.37","1835070.0"
"SaluS","SLS","1009686.21592","2236760.0"
"SmartCash","SMART","423877338.793","136441.0"
"Grid+","GRID","39236491.0","50363.8"
"Enjin Coin","ENJ","756192535.064","11348300.0"
"Centra","CTR","68000000.0","1952960.0"
"FirstBlood","1ST","85558370.5","733968.0"
"Blocktix","TIX","40000000.0","3326980.0"
"BLOCKv","VEE","1349120359.24","162233.0"
"Steem Dollars","SBD","3589617.589","4076230.0"
